state,district,disease,no_of_cases,no_deaths,start_of_outbreak,reporting_data,status,action
Kerala,Kottayam,Suspected Food Poisoning,140,0.0,25-06-2025,26-06-2025,Under Control,"Cases were reported from Ward 26 of Kottayam Municipality, Sub-District Kottayam, District Kottayam. Cases presented with vomiting, loose stool, and abdominal discomfort following a religious feast on 22.06.2025. All age groups were affected. Four water samples were tested at the Kerala Water Authority Lab, Kottayam, out of which 2 samples showed presence of coliforms. District RRT investigated the outbreak. Inspections, awareness activities, and health education on food and water safety, hygiene, and sanitation was given."
Kerala,Malappuram,Mpox,1,0.0,23-06-2025,25-06-2025,Under Surveillance,"Case was reported from Village Ponmala, Sub-District Tirur, District Malappuram. A 26-year-old presented with fever, multiple fluid-filled lesions over the genital area, groin, forearm, neck, and tip of the nose for three weeks, with lesions over the genitalia rupturing to form ulcers. The case had a history of working abroad. One sample was tested at VRDL Kozhikode and NIV Pune, which was positive for Mpox by PCR (Clade 1 detected). District RRT investigated the outbreak. Community awareness and health education on control, hygiene, and sanitation."
Kerala,Malappuram,Mpox,1,0.0,23-06-2025,25-06-2025,Under Surveillance,"Case was reported from Village Mambad, Sub-District Nilambur, District Malappuram. A 31-year-old female presented with fever on 15/06/2025, followed by a lesion on her hand the next day. The case had a history of travel from abroad on 08/06/2025. One sample was tested at NIV Pune 23/06/2025, which was positive for Mpox by PCR. District RRT investigated the outbreak. Community awareness and health education on control, hygiene, and sanitation."
Kerala,Malappuram,Hepatitis A,26,0.0,22-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Kizhuparamba, Sub-District Ernad, District Malappuram. Cases presented with fever & jaundice. One serum sample tested at DPHL Malappuram was positive for Hepatitis A IgM by ELISA. All other cases were epidemiologically linked. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on control measures, hygiene, and sanitation."
Kerala,Malappuram,Hepatitis A,13,0.0,20-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Marakkara, Sub-District Kondotty, District Malappuram. Cases presented with fever & jaundice. Water samples were contaminated with coliforms. Two samples tested at DPHL Malappuram were positive for HAV IgM by ELISA. All other cases were epidemiologically linked. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on control measures, hygiene, and sanitation."
Kerala,Malappuram,Hepatitis A,16,0.0,19-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Ponmala, Sub-District Tirur, District Malappuram. Cases presented with fever & jaundice. Two serum samples tested at DPHL Malappuram were positive for Hepatitis A IgM by ELISA. All other cases were epidemiologically linked. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on control measures, hygiene, and sanitation."
Kerala,Palakkad,Food Poisoning,17,0.0,24-06-2025,24-06-2025,Under Control,"Cases were reported from Sub-District Alathur, District Palakkad. Cases presented with loose stools, nausea, and vomiting following food consumption at a family function. One water sample tested at IRTC was positive for coliform bacteria and E.coli. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on hygiene and sanitation."
Kerala,Pathanamthi tta,Acute Diarrheal Disease,80,0.0,26-06-2025,26-06-2025,Under Control,"Cases were reported from Village Aranmula, Sub-District Kozhenchery, District Pathanamthitta. Cases presented with diarrhea following a marriage function. One water sample sent for testing showed presence of coliform bacteria. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on hygiene and sanitation."
Kerala,Thrissur,Dengue,28,0.0,25-06-2025,27-06-2025,Under Surveillance,"Cases were reported from Village Pullazhi, District Thrissur. Cases presented with fever. Five serum samples were sent for testing, all were positive for Dengue IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on vector control measures, hygiene, and sanitation. Source reduction and adult mosquito control measures were conducted."
Madhya Pradesh,Chhatarpur,Acute Diarrheal Disease,7,0.0,25-06-2025,26-06-2025,Under Surveillance,"Cases were reported from Village Andhiyari Bar, Sub-District Laundi, District Chhatarpur. Cases presented with diarrhea and vomiting. Two rectal swabs and one water sample were collected and sent to DPHL SS Medical College Rewa and PHE Chhatarpur. All samples tested negative for any entero-pathogen. District RRT investigated the outbreak. House-to-house surveys were conducted. ORS and zinc were distributed, and cases were treated in District Hospital. Community awareness and health education were given by the peripheral team on safe drinking water, hygiene, and sanitation."
Madhya Pradesh,Dhar,Acute Encephalitic Syndrome,1,1.0,25-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Bawdiya, Sub-District Kukshi, District Dhar. Cases presented with fever and vomiting. District RRT investigated the outbreak. A health camp and door-to-door survey were conducted. Community awareness and health education were given by the peripheral team on early identification, hygiene, and sanitation. One death has occurred of a 4-year-old male child due to the illness on 17/6/25."
Madhya Pradesh,Guna,Acute Diarrheal Disease,46,0.0,25-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Muhal Kaloni, Sub-District Bamori, District Guna. Cases presented with loose motion. Three stool samples were collected and sent to GMC Shivpuri, all were negative for any entero-pathogen. District RRT investigated the outbreak. Door-to-door surveys were conducted. Community awareness and health education were given by the peripheral team on hygiene, sanitation, and water safety."
Madhya Pradesh,Indore,Dengue,43,0.0,24-06-2025,24-06-2025,Under Surveillance,"Cases were reported from Village Chittoda, Sub-District Depalpur, District Indore. Cases presented with fever and body pain. The most affected age group was 21-30 years. Total 43 blood samples were collected, out of which 14 tested positive for Dengue NS1 Antigen by ELISA at MGM Microbiology Lab. District RRT investigated the outbreak. Fogging and anti- larval activities were conducted. Community awareness and health education were provided on mosquito control, hygiene, and use of personal protection. (Entomological indices: HI 8.19%, CI 41.17%, BI 22.95%)"
Madhya Pradesh,Jabalpur,Chickenpox,6,0.0,24-06-2025,24-06-2025,Under Surveillance,"Cases were reported from UPHC Kotwali, Sub-District Jabalpur Urban, District Jabalpur. Cases presented with fever and rash. Affected age group was 14-35 years. Six blood samples were sent to ICMR- NIRTH, Jabalpur; all were negative for Chickenpox. All cases were diagnosed clinically. District RRT investigated the outbreak. Active case search conducted. Community awareness and health education were provided on hygiene and infection prevention."
Madhya Pradesh,Jhabua,Acute Diarrheal Disease,33,0.0,22-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Village Bhamal, Sub-District Thandla, District Jhabua. Thirty-three cases presented with loose motion and vomiting. All age groups were affected. Three stool and two water samples were tested at DPHL Indore. Stool samples showed normal flora; water samples were found unsatisfactory. District RRT investigated the outbreak. Isolation and symptomatic management were done. Chlorine tablets distributed. Community educated on safe water and food practices."
Madhya Pradesh,Shivpuri,Measles,5,0.0,26-06-2025,26-06-2025,Under Surveillance,"Cases were reported from Village Galthani, Sub-District Pohri, District Shivpuri, presenting with cough, fever, conjunctivitis, and runny nose. The affected age group was 1-15 years. Five blood samples were collected and sent to GMC Bhopal, out of which four were positive for Measles IgM by ELISA. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Madhya Pradesh,Umaria,Chickenpox,8,0.0,22-06-2025,23-06-2025,Under Surveillance,"Cases were reported from Village Majhgawan, SHC Kodar, PHC Dhamokhar, Sub-District Manpur, District Umaria. Cases presented with fever and rash. The affected age group was 1-20 years. Six blood samples were collected and sent to NIRTH Jabalpur, all were negative for Measles. District RRT investigated the outbreak. Administration of Vitamin A doses to all affected individuals, household fever and rash survey was done. Community awareness and health education on hygiene, sanitation, and control."
Madhya Pradesh,Vidisha,Cholera,25,0.0,26-06-2025,27-06-2025,Under Surveillance,"Cases were reported from Village Newali, Mahavan SC, Lateri Block, District Vidisha. Cases presented with vomiting and diarrhea. The affected age group was 20-40 years. Twelve water samples were collected and sent to PHE Department, with two samples found to be contaminated with fecal coliform and total coliform counts exceeding 2400. Three stool samples were sent to Microbiology Department, Government Medical College Vidisha, where one sample tested positive for Vibrio cholerae. District RRT investigated the outbreak. A 15-day health camp was organized. IEC activities on safe drinking water and hygiene, distributing ORS, zinc, and chlorine tablets to all affected households, and daily chlorination for 15 days was done. Tankers were arranged for safe drinking water supply. The outbreak was attributed to contamination of drinking water."
Maharasht ra,Akola,Acute Diarrheal Disease,15,0.0,26-06-2025,26-06-2025,Under Control,"Cases were reported from Village Rudhadi Pr. Khatkali, Sub-District Akot, District Akola. Cases presented with symptoms of abdominal pain, loose motion, and nausea. All affected cases were above 15 years of age. One stool sample & two water samples were tested at DPHL Akola. Stool sample was negative for Cholera, while two water samples were found contaminated. District RRT investigated the outbreak. Community awareness and health education were provided by the peripheral team on hygiene, sanitation, and outbreak prevention. Daily house-to-house surveillance, chlorination of all water sources, and the use of Mediclor for water purification was done."
Maharasht ra,Chandrapur,Scrub Typhus,9,1.0,24-06-2025,24-06-2025,Under Surveillance,"Cases were reported from Village Gilbili, Sub-District Ballarpur, District Chandrapur. Cases presented with fever and cough. A total of 9 samples were collected and sent to AIIMS Nagpur, out of which 1 was positive for Scrub Typhus by ELISA. District RRT investigated the outbreak and carried out community awareness activities to control the spread and educate the public. Surveillance activities, including entomological survey and fever survey, were conducted in the affected area. Vector control measures such as Malathion dusting and extensive IEC campaigns on disease prevention, hygiene, and sanitation were conducted. One death, of a 56-year-old female, has occurred due to Scrub Typhus with complications of meningitis, sepsis, and multi-organ failure on 23/06/2025."
Maharasht ra,Dharashiv,Malaria,24,0.0,28-06-2025,29-06-2025,Under Surveillance,"Cases were reported from Jahagirdarwadi Village under PHC Yedshi, Block Dharashiv. Affected individuals were majorly in the 5 to 15 years age group, presented with fever. A total of 11 blood smear samples were collected and sent to the DMO office for testing, out of which 3 tested positive for Malaria (one each for Plasmodium vivax & Plasmodium falciparum and a mixed infection of P.vivax and P.falciparum). District RRT investigated the outbreak. Two rounds of abetting, fogging operations were conducted in the affected area, and intensive health education and awareness campaigns focusing on hygiene, sanitation, and vector control was done."
Maharasht ra,Dhule,Malaria,7,0.0,24-06-2025,24-06-2025,Under Control,"Cases were reported from Village Rewadi, SC Devi, PHC Malpur, Taluka Shindkheda. Cases presented with fever, body ache, and chills. The affected age group ranged from 12 to 63 years. A total of 7 samples were tested at Late Shree Bhausaheb Hirey Government Medical College Lab, Dhule, out of which 3 were positive for Malaria (Plasmodium vivax) on peripheral smear microscopy. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation. Daily house-to-house surveys, container surveys, fogging, abating were done."
Maharasht ra,Dhule,Cholera,12,0.0,25-06-2025,25-06-2025,Under Control,"Cases were reported from Village Kharde, SC Untavad, PHC Kharde, Taluka Shirpur, District Dhule. Cases presented with symptoms of loose motion, abdominal pain, and nausea. The affected age group ranged from 5 years to 56 years. A total of 5 stool samples were collected and tested at Late Shree Bhausaheb Hirey Government Medical College, Dhule, out of which 2 were positive for Vibrio cholerae by microscopy (hanging drop preparation). District RRT investigated the outbreak. Daily house-to-house surveys, health education, scientific use of TCL powder for drinking water purification, village cleanliness drives, and testing of TCL and water samples was done."
Maharasht ra,Gadchiroli,Malaria (P.falciparu m & P.vivax),4,1.0,21-06-2025,24-06-2025,Under Surveillance,"Cases were reported from Village Muska, SC Muska under PHC Murumgaon, Block Dhanora, District Gadchiroli. A total of 3 fever cases were found positive for Malaria among individuals aged 36 to 55 years. Total 49 blood smears (BS) were tested by Rapid Diagnostic Kits at PHC Murumgaon, confirming 2 cases of Plasmodium falciparum & 1 case of Plasmodium vivax. District RRT investigated the outbreak. Health education was given on the importance of completing malaria treatment and the use of mosquito nets. Community awareness activities were conducted focusing on vector control measures, personal hygiene, and sanitation to prevent further transmission. One death was reported of a 55-year-old female, who died on 21/06/2025 at Civil Hospital Gadchiroli due to Malaria."
Maharasht ra,Pune,Acute Diarrheal Disease,5,0.0,21-06-2025,27-06-2025,Under Surveillance,"Cases were reported from Ghodegaon, Landewadi PHC under Taluka Ambegaon, District Pune. Cases presented with symptoms of abdominal pain, vomiting, and diarrhea. All affected cases were above 15 years of age. A total of 26 water samples and 5 stool samples were collected and sent to HLL Pune for testing. Two stool samples were positive for Candida and E.coli. District RRT investigated the outbreak. Community awareness and health education were provided on hygiene and sanitation practices. Daily field surveillance, water quality checks, chlorination of water sources, and distribution of Mediclor for disinfection was done."
Mizoram,Saitual,Suspected Typhoid,48,0.0,19-06-2025,23-06-2025,Under Control,"Cases were reported from NE Khawdungsei Village under NE Khawdungsei PHC. Cases presented with symptoms of fever, headache, muscle pain, and body pain. All age groups were affected. Blood/serum samples were tested by RDT, and all 48 samples were found positive for Typhoid. Additionally, a water sample collected & sent to the Chief Chemist Water Testing Laboratory, PHED, Mizoram, was found to be satisfactory. District RRT investigated the outbreak. Active case search and health awareness campaigns, were conducted by peripheral team on control measures, hygiene and sanitation. 0R/BHA/2025/26/116 4 Odisha Bhadrak Acute Diarrheal Disease 28-06-2025 28-06-2025 Under Surveillance Cases were reported from a school under the jurisdiction of Purunabazar UPHC, Sub- District Bhadrak Rural, District Bhadrak. All cases were females, predominantly from the 5-14 years age group. Symptoms included vomiting, nausea, and loose motion after consumption of food from a common kitchen. Five rectal swabs and three water samples were collected and tested at Bhadrak DPHL. No entero- pathogenic organisms were found in rectal swabs, and water samples were H2S negative with no residual chlorine on OT testing. District RRT investigated the outbreak, and community awareness and health education were provided by the peripheral team on hygiene, sanitation, and disease prevention. Distribution of ORS, water disinfection was done."
Tamil Nadu,Coimbatore,Food Poisoning,14,0.0,24-06-2025,25-06-2025,Under Control,"Cases were reported from a College of Nursing, Mohan Nagar, under Kurichi UPHC, South Zone, Coimbatore District. A total of 14 female students above the age of 15 years presented with symptoms of vomiting and diarrhea after consumption of a common food item. One water sample was collected and tested at the Chief Water Analyst’s Laboratory, Coimbatore, for physical, chemical, and bacteriological examination, which was found to be potable. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on control measures, hygiene and sanitation."
Tripura,West Tripura,Acute Hepatitis A,36,0.0,23-06-2025,25-06-2025,Under Surveillance,"Cases were reported from Master Para, Kalibari Road, Ward No. 20 and 32 under Madhya Pratapgarh UPHC, District West Tripura. Cases presented with nausea, vomiting and abdominal pain. All age groups were affected. Affected cases consumed water supplied through a pipeline connected to a local reservoir. Fifteen water samples were collected and sent to Microbiology Lab at AGMC, which were found to be potable. Total 34 blood samples were collected and sent to AGMC, Tripura, out of which one tested positive for Hepatitis A (IgM by ELISA). All other cases were epidemiologically linked. All cases were treated symptomatically. District RRT investigated the outbreak. Community awareness and health education were provided regarding safe drinking water and sanitation practices."
Uttar Pradesh,Meerut,Acute Diarrheal Disease,40,0.0,21-06-2025,24-06-2025,Under Surveillance,"Cases were reported from Budh Vihar Gali, Ward 26 under UPHC Jagriti Vihar, District Meerut. Cases presented with loose motion and vomiting. All age groups were affected. Three stool samples were collected and sent to LLRM Medical College, Meerut, which showed no growth of organisms on culture. Two water samples sent for testing were found to be potable. District RRT investigated the outbreak. Community awareness and health education were provided regarding safe drinking water, hygiene, and sanitation. Pipeline leakages were repaired. A health camp was organized in the locality, where cases were treated. ORS packets and chlorine tablets were distributed. The suspected source was contamination of drinking water due to mixing of pipeline water with sewage."
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,33,1.0,27-06-2025,28-06-2025,Under Control,"Cases were reported from Village/SC Lakhanpur, PHC Chilh, Block Kon, District Mirzapur. Cases presented with loose motion and abdominal pain. All age groups were affected. Affected cases consumed water from an overhead tank supplied through pipelines. A total of 22 cases were treated symptomatically, out of which 11 were treated at Government Medical College, Mirzapur. District and Block RRT investigated the outbreak. Chlorination of the overhead tank was carried out and pipeline leakages were repaired. Community awareness and health education were provided regarding safe drinking water and proper sanitation. One death of a 59-year-old male has occurred due to severe dehydration and shock on 25.06.2025."
Uttar Pradesh,Rae Bareli,Chickenpox,9,0.0,23-06-2025,24-06-2025,Under Control,"Cases were reported from Village Sarvajeet ka Purwa, CHC Mahrajganj, District Raebareli. Cases presented with fever and rash. The affected age group was 5-35 years. Two serum samples were collected and sent to Microbiology Department, AIIMS Rae Bareli; one sample was equivocal. District RRT investigated the outbreak. Active case search for fever cases was conducted in the locality. Cases were treated symptomatically. Community awareness and health education were provided on case isolation, hygiene maintenance, and proper nutrition."
Andhra Pradesh,Kakinada,Suspected Food Poisoning,45,0.0,17-06-2025,,Under Control,"Cases were reported from Dabbadi and Satyavaram Hamlets of Raghavapatnam Village, Sub-District Rowthulapudi, District Kakinada. Cases presented with symptoms of loose stools, nausea, vomiting, abdominal pain, fever, and mucus in stools after consumption of food in a local religious gathering. All age groups were affected. Five water samples and ten stool samples were collected and sent to RMC Kakinada; all tested negative for any entero-pathogen. District RRT investigated the outbreak. Community awareness and health education were provided by the peripheral team on control measures, hygiene, and sanitation."
Assam,Bongaigaon,Japanese Encephalitis,1,1.0,14-06-2025,,Under Control,"A case was reported from Village Dolaigaon Bhatipara, Sub- District Bongaigaon, District Bongaigaon. A 36-year-old male presented with fever and altered mental status. One CSF sample was collected and tested at DPHL Bongaigaon was found positive for JE IgM by ELISA. The patient was not vaccinated against JE. District RRT investigated the outbreak. House-to-house surveillance was conducted to identify any additional cases with similar symptoms; eight blood smears were collected during the survey, and no further cases were found. Community awareness campaigns were conducted focusing on vector-borne disease control, hygiene, and sanitation. The patient succumbed to the illness on 12th July 2025."
Kerala,Kannur,Dengue,61,0.0,12-06-2025,,Under Surveillance,"Cases were reported from Village Vekkalam, Sub-District Thalassery, District Kannur. Cases presented with fever, body pain, and headache. The most affected group was 40-60 years. Five blood samples tested at RPHL Kannur were positive for Dengue IgM ELISA. District RRT investigated the outbreak. Community awareness and health education were given by the peripheral team on vector control measures, hygiene, and sanitation. Major breeding sources identified included rubber collection shells, plastic sheets, and fridge trays. Vector indices were found to be high."
Arunachal Pradesh,Lohit,Acute Diarrheal Disease,27,0.0,30-06-2025,30-06-2025,Under Control,"Cases were reported from Vivekananda Kendra Vidyalaya, Sunpura, Sub-District Sunpura Circle, District Lohit. Cases presented with loose motion, vomiting and pain abdomen. 2 blood samples were collected and sent to RMRC-ICMR, Dibrugarh. One sample tested positive for E.Coli (Shiga Toxin Producing E.Coli, STEC) by RT-PCR. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Assam,Dibrugarh,Suspected Food Poisoning,123,0.0,29-06-2025,30-06-2025,Under Control,"Cases were reported from Village Lukhura khania, Sub-District Chabua, District Dibrugarh. Cases presented with pain abdomen, loose stools and vomiting. 3 rectal swabs and 2 water samples were collected and sent to AMCH Dibrugarh. Rectal swabs did not show growth of any pathogenic organism, water samples found unfit for potable purpose District RRT investigated the outbreak. All the cases developed the symptoms after having food at a social gathering. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Bihar,Vaishali,Acute Diarrheal Disease,20,0.0,01-07-2025,01-07-2025,Under Surveillance,"Cases were reported from Village Lawapur Harnarayan, Sub-District Mahnar, District Vaishali. Cases presented with loose stools and vomiting. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation"
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,17,0.0,29-06-2025,30-06-2025,Under Control,"Cases were reported from Village Raseda, Sub-District Baloda Bazar, District Baloda Bazar. Cases presented with diarrhea and vomiting. All the cases were diagnosed clinically. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Chhattisgarh,Bemetara,Measles,5,0.0,04-07-2025,04-07-2025,Under Surveillance,"Cases were reported from Village Gunarhod, Sub-District Bemetara, District Bemetara. Cases presented with fever with rash. 5 blood samples were collected and sent to NIRTH Jabalpur. All the samples found positive for Measles IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was less than 6 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Chhattisgarh,Janjgir- Champa,Acute Diarrheal Disease,15,0.0,03-07-2025,04-07-2025,Under Control,"Cases were reported from Village Hardi, Sub-District Akaltara, District Janjgir- Champa. Cases presented with diarrhea and vomiting. 3 stool samples were collected and sent to district hospital. Samples did not show growth of any pathogenic organism. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Goa,North Goa,Acute Diarrheal Disease (Shigellosis),91,0.0,29-06-2025,02-07-2025,Under Surveillance,"Cases were reported from Sub-District Bicholim, District North Goa. Cases presented with loose stools and vomiting. 7 Stool samples and 2 water samples were collected and sent to North Goa District lab and DHS. 2 Stool samples showed growth of Shigella, and water sample found fit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education were given by the peripheral team on control measures, hygiene, and sanitation."
Goa,South Goa,Typhoid,22,0.0,28-06-2025,05-07-2025,Under Surveillance,"Cases were reported from Village Vasco, Sub-District Mormugao, District South Goa. Cases presented with fever, chills, bodyache. A total of 4 blood samples tested positive for Salmonella typhi by Blood culture. District RRT investigated the outbreak. Community awareness and health education given by peripheral team on hygiene and sanitation."
Gujarat,Dohad,Suspected Food Poisoning,90,0.0,03-07-2025,03-07-2025,Under Surveillance,"Cases were reported from GLRS School, Mandor Sub-District Limkheda, District Dohad. Cases presented with nausea, vomiting, pain abdomen and dizziness. 1 water sample and 3 food samples were collected and sent District lab GWSSB Dahod and Food & Drug lab Vadodara respectively. Result is awaited. District RRT investigated the outbreak. All the cases developed the symptoms after having food in a school camp. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation"
Jammu and Kashmir,Badgam,Hepatitis A,10,0.0,01-07-2025,01-07-2025,Under Control,"Cases were reported from Village Ompora, Sub-District Budgam, District Badgam. Cases presented with symptoms of fever, fatigue and jaundice. 10 blood samples and 4 water samples were collected and sent to DPHL Budgam. 2 blood samples found positive for Hepatitis A by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Jharkhand,Dhanbad,Acute Diarrheal Disease,15,0.0,02-07-2025,02-07-2025,Under Surveillance,"Cases were reported from Kashidh Tola, Village Jolhadih, Sub-District Nirsa, District Dhanbad. Cases presented with vomiting and loose stools. 7 water samples were collected and sent to District testing lab. Water sample found unfit for potable purpose. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Jharkhand,Dumka,Chickenpox,9,0.0,01-07-2025,02-07-2025,Under Surveillance,"Cases were reported from Village Haroraydih, Sub-District Masalia, District Dumka. Cases presented with fever with rash. 5 blood samples were collected and sent to RIMS Ranchi. 4 samples found positive for the Varicella Zoster IgM by ELISA. District RRT investigated the outbreak. Age group of the affected cases was 6-32 years. Cases treated symptomatically. Community awareness and health education given by peripheral team on vaccination, hygiene and sanitation."
Jharkhand,Sahebganj,Acute Diarrheal Disease,13,0.0,02-07-2025,03-07-2025,Under Control,"Cases were reported from Village Kalu, Sub-District Barharwa, District Sahebganj. Cases presented with vomiting and loose stools. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Jharkhand,Sahebganj,Malaria,10,0.0,01-07-2025,01-07-2025,Under Control,"Cases were reported from Village Chatra, Sub-District Mandro, District Sahebganj. Cases presented with fever with chills. A total of 10 samples found positive for malaria (Plasmodium falciparum) by RDT. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,18,0.0,03-07-2025,04-07-2025,Under Surveillance,"Cases were reported from Village Bandu, Sub-District Ichagarh, District Saraikela Kharsawan. Cases presented with vomiting and loose stools. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Jharkhand,Saraikela Kharsawan,Acute Diarrheal Disease,26,0.0,30-06-2025,02-07-2025,Under Surveillance,"Cases were reported from Village Chota Amra, Sub-District Ichagarh, District Saraikela Kharsawan. Cases presented with vomiting and loose stools. Water samples collected and sent to MGM Medical College Hospital. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Ernakulam,Suspected Food Poisoning,56,0.0,03-07-2025,04-07-2025,Under Surveillance,"Cases were reported from Sub-District Kanayannur, District Ernakulam. Cases presented with loose stools, pain abdomen and vomiting. 3 water samples were collected and sent for testing. One water sample found unfit for potable purpose. District RRT investigated the outbreak. All the cases developed the symptoms after having food in a social gathering on 26.06.2025. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation"
Kerala,Kozhikode,Hepatitis A,108,0.0,01-07-2025,01-07-2025,Under Surveillance,"Cases were reported from Village Velom, Sub-District Vatakara, District Kozhikode. Cases presented with symptoms of jaundice. 4 blood samples tested positive for Hepatitis A by ELISA, District RRT investigated the outbreak. All the cases attended a marriage function on 03.07.2025. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Palakkad,Nipah Virus,1,0.0,03-07-2025,05-07-2025,Under Surveillance,"Case was reported from Village Thachanattukara, District Palakkad. A 38- year-old female presented with fever, vomiting. Blood sample found positive for NIPAH by RT-PCR at KKD VRDL and NIV, Pune. District RRT investigated the outbreak. Case is getting treatment in the hospital. Community awareness and health education given by peripheral team on vector control measures, hygiene and sanitation."
Kerala,Palakkad,Jaundice,16,0.0,01-07-2025,02-07-2025,Under Surveillance,"Cases were reported from Village Thiruvegapura, Sub-District Pattambi, District Palakkad. Cases presented with symptoms of jaundice. 5 serum samples were collected and sent for testing. All the samples found negative for HAV IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Palakkad,Acute Diarrheal Disease,34,0.0,01-07-2025,01-07-2025,Under Control,"Cases were reported from Village Vandazhi-II, Sub-District Alathur, District Palakkad. Cases presented with loose stools and vomiting. 2 stool samples and 2 water samples were collected and sent to IPHL. Rectal swabs did not show growth of any pathogenic organism and both water samples found unfit for potable purpose (Coliforms detected). District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Kerala,Palakkad,Suspected Food Poisoning,156,0.0,03-07-2025,05-07-2025,Under Control,"Cases were reported from Villages Alathur (CT), Wadakkanchery (CT) & Puducode, Sub-District Alathur, District Palakkad. Cases presented with loose stools, pain abdomen and vomiting. 3 stool samples were collected and sent to PHL. 2 samples showed growth of Norovirus. District RRT investigated the outbreak. All the cases developed the symptoms after attending an engagement party. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Madhya Pradesh,Bhind,Suspected Food Poisoning,54,0.0,30-06-2025,01-07-2025,Under Surveillance,"Cases were reported from Village Imlendi, Sub-District Ater, District Bhind. Cases presented with loose stools and vomiting after eating food at a social gathering on 30-06-2025. Food samples were collected and sent to Food Safety Lab Bhopal. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on hygiene and sanitation."
Madhya Pradesh,Burhanpur,Malaria (Plasmodiu m Vivax),3,0.0,30-06-2025,01-07-2025,Under Control,"Cases were reported from ward no. 38, Rastipura area, Sub-District Burhanpur, District Burhanpur. Cases presented with fever with chills. A total of 3 samples found positive for malaria (Plasmodium vivax) by RDT at Kiran Pathology Lab Burhanpur. District RRT investigated the outbreak. Cases treated with anti-malarial and other supportive measures. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
Madhya Pradesh,Satna,Leptospirosi s,26,0.0,02-07-2025,02-07-2025,Under Surveillance,"Cases were reported from Village Barahiya, Sub-District Maihar, District Satna. Cases presented with fever with rash. 18 samples were collected and sent to AIIMS Bhopal. All samples came positive for the Leptospirosis IgM by ELISA. District RRT investigated the outbreak. Cases treated symptomatically. Community awareness and health education given by peripheral team on vector control measures, hygiene, and sanitation."
